,SOC Code,pred,pred_prob,SOC Official STEM,pred_low_threshold
92,15-1199,0.0,0.6192081446270488,1.0,True
93,15-1199,0.0,0.6192081446270488,1.0,True
94,15-1199,0.0,0.6192081446270488,1.0,True
95,15-2011,1.0,0.5912568513200266,1.0,True
96,15-2021,1.0,0.8610121283120337,1.0,True
97,15-2031,1.0,0.8217938545617577,1.0,True
98,15-2041,1.0,0.8066495470162989,1.0,True
99,15-2041,1.0,0.8066495470162989,1.0,True
100,15-2041,1.0,0.8066495470162989,1.0,True
101,15-2091,1.0,0.9200799325846687,1.0,True
102,17-1011,0.0,0.4004711755493247,1.0,False
103,17-1012,0.0,0.32702175766917085,1.0,False
104,17-1021,0.0,0.38771012945756966,1.0,False
105,17-1022,0.0,0.4553934242166807,1.0,True
106,17-1022,0.0,0.4553934242166807,1.0,True
107,17-2011,1.0,0.8891994202956682,1.0,True
108,17-2021,1.0,0.7382996471928863,1.0,True
109,17-2031,1.0,0.9505920527313475,1.0,True
110,17-2041,1.0,0.9269411884963321,1.0,True
111,17-2051,1.0,0.5620667073297724,1.0,True
112,17-2051,1.0,0.5620667073297724,1.0,True
113,17-2061,1.0,0.8954108000475057,1.0,True
114,17-2071,1.0,0.7737489111951281,1.0,True
115,17-2072,1.0,0.771806261967947,1.0,True
116,17-2072,1.0,0.771806261967947,1.0,True
117,17-2081,1.0,0.6925750673010382,1.0,True
118,17-2081,1.0,0.6925750673010382,1.0,True
119,17-2111,1.0,0.6342740897551187,1.0,True
120,17-2111,1.0,0.6342740897551187,1.0,True
121,17-2111,1.0,0.6342740897551187,1.0,True
122,17-2111,1.0,0.6342740897551187,1.0,True
123,17-2112,1.0,0.6642401764677679,1.0,True
124,17-2112,1.0,0.6642401764677679,1.0,True
125,17-2121,0.0,0.7292848840830582,1.0,True
126,17-2121,0.0,0.7292848840830582,1.0,True
127,17-2121,0.0,0.7292848840830582,1.0,True
128,17-2131,1.0,0.8096617244627303,1.0,True
129,17-2141,1.0,0.8311580741187968,1.0,True
130,17-2141,1.0,0.8311580741187968,1.0,True
131,17-2141,1.0,0.8311580741187968,1.0,True
132,17-2151,1.0,0.769901733769347,1.0,True
133,17-2161,1.0,0.8455294691393009,1.0,True
134,17-2171,1.0,0.7151577834472599,1.0,True
135,17-2199,1.0,0.7776522222641211,1.0,True
136,17-2199,1.0,0.7776522222641211,1.0,True
137,17-2199,1.0,0.7776522222641211,1.0,True
138,17-2199,1.0,0.7776522222641211,1.0,True
139,17-2199,1.0,0.7776522222641211,1.0,True
140,17-2199,1.0,0.7776522222641211,1.0,True
141,17-2199,1.0,0.7776522222641211,1.0,True
142,17-2199,1.0,0.7776522222641211,1.0,True
143,17-2199,1.0,0.7776522222641211,1.0,True
144,17-2199,1.0,0.7776522222641211,1.0,True
145,17-2199,1.0,0.7776522222641211,1.0,True
146,17-2199,1.0,0.7776522222641211,1.0,True
147,17-3011,0.0,0.5295456991603508,1.0,True
148,17-3011,0.0,0.5295456991603508,1.0,True
149,17-3011,0.0,0.5295456991603508,1.0,True
150,17-3012,1.0,0.5523190053549283,1.0,True
151,17-3012,1.0,0.5523190053549283,1.0,True
152,17-3012,1.0,0.5523190053549283,1.0,True
153,17-3013,0.0,0.6379283243581612,1.0,True
154,17-3021,1.0,0.6156682977015088,1.0,True
155,17-3022,0.0,0.44971712501249267,1.0,True
156,17-3023,1.0,0.5872757362838001,1.0,True
157,17-3023,1.0,0.5872757362838001,1.0,True
158,17-3023,1.0,0.5872757362838001,1.0,True
159,17-3024,1.0,0.6868048411242931,1.0,True
160,17-3024,1.0,0.6868048411242931,1.0,True
161,17-3025,1.0,0.6029676542376329,1.0,True
162,17-3026,1.0,0.7236186591622654,1.0,True
163,17-3027,0.0,0.5621689037889936,1.0,True
164,17-3027,0.0,0.5621689037889936,1.0,True
165,17-3029,1.0,0.6297524685032847,1.0,True
166,17-3029,1.0,0.6297524685032847,1.0,True
167,17-3029,1.0,0.6297524685032847,1.0,True
168,17-3029,1.0,0.6297524685032847,1.0,True
169,17-3029,1.0,0.6297524685032847,1.0,True
170,17-3029,1.0,0.6297524685032847,1.0,True
171,17-3029,1.0,0.6297524685032847,1.0,True
172,17-3029,1.0,0.6297524685032847,1.0,True
173,17-3029,1.0,0.6297524685032847,1.0,True
174,17-3029,1.0,0.6297524685032847,1.0,True
175,17-3029,1.0,0.6297524685032847,1.0,True
176,17-3029,1.0,0.6297524685032847,1.0,True
177,17-3029,1.0,0.6297524685032847,1.0,True
178,17-3031,0.0,0.44838273537133294,1.0,True
179,17-3031,0.0,0.44838273537133294,1.0,True
180,17-3031,0.0,0.44838273537133294,1.0,True
181,19-1011,1.0,0.6629886812753725,1.0,True
182,19-1012,1.0,0.5803787725928558,1.0,True
